created,downs,id,score,title,ups,url,status
2018-09-27 22:11:47,0,9jeq2t,12,Flybondi comenzó a vender pasajes para volar a su primer destino internacional,12,https://www.clarin.com/viajes/flybondi-comenzo-venta-pasajes-punta_0_fPE3xR8wJ.html,200
2018-09-27 20:15:25,0,9jdq49,39,Eliminan la bonificación por ahorro en el consumo de gas y recortan el subsidio a la tarifa social,39,https://www.clarin.com/economia/eliminan-bonificacion-ahorro-consumo-gas-recortan-subsidio-tarifa-social_0_0W2P4jEsy.html,200
2018-09-27 19:59:23,0,9jdl70,1,Australia teme el colapso del mercado inmobiliario,1,https://www.clarin.com/new-york-times-international-weekly/australia-teme-colapso-mercado-inmobiliario_0_S1dGanW8X.html,200
2018-09-27 07:30:35,0,9j900m,4,"Ciudades flotantes independientes y gobierno propio, el polémico proyecto que se puede hacer realidad",4,https://www.clarin.com/arq/ciudades-flotantes-anarco-capitalismo_0_p4TyzDT5y.html?Echobox=1537905921#utm_term=Autofeed&amp;utm_medium=Social&amp;utm_source=Twitter,200
2018-09-27 05:55:42,0,9j8bh4,6,Mercado Pago desembarca en los 900 comercios de la Villa 31,6,https://www.clarin.com/economia/economia/mercado-pago-desembarca-900-comercios-villa-31_0_Q34oJKlZD.amp.html?__twitter_impression=true,200
2018-09-28 18:02:56,0,9jmran,2,Aves porteñas de primavera: cinco especies para avistar en la Reserva Ecológica,2,https://www.clarin.com/arq/aves-portenas-primavera-especies-avistar-reserva-ecologica_0_zNTwq6qiv.html,200
2018-09-28 17:00:26,0,9jmc9d,0,La pareja que se enamoró haciendo dedo,0,https://www.clarin.com/viva/pareja-enamoro-haciendo-dedo_0_Fp5Glq6KY.html,200
2018-09-28 14:51:40,0,9jlm4s,21,"La compra de remedios se derrumbó 7%, se eligen marcas más baratas y crece el fiado",21,https://www.clarin.com/sociedad/compra-remedios-derrumbo-eligen-marcas-baratas-crece-fiado_0_xjAvay-y3.html,200
2018-09-28 08:37:36,0,9jjlg9,10,Silvina Luna le ganó el juicio a Google y a Yahoo! por la divulgación de su video hot,10,https://www.clarin.com/espectaculos/fama/silvina-luna-gano-juicio-google-yahoo-divulgacion-video-hot_0_VI67C2tCU.html,200
2018-09-28 07:59:47,0,9jjccw,0,El Pato Fontanet fue a alentar a Boca al estadio Mario Kempes,0,https://www.clarin.com/deportes/futbol/boca-juniors/pato-fontanet-alentar-boca-estadio-mario-kempes_0_Wz2oSH0pc.html,200
